City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Road Town,VG,18.4167,-64.6167,80.69,69,2,20.18,clear sky
250,Tartagal,AR,-22.5164,-63.8013,77.94,36,60,4.68,broken clouds
251,Ouallam,NE,14.3188,2.0866,71.4,18,4,10.98,clear sky
252,Sergeyevka,KZ,53.88,67.4158,1.27,98,13,2.62,few clouds
253,Tuatapere,NZ,-46.1333,167.6833,56.86,87,99,3.78,overcast clouds
254,Longyearbyen,SJ,78.2186,15.6401,24.64,93,100,4.61,overcast clouds
255,Tamandare,BR,-8.7597,-35.1047,75.83,85,16,6.55,few clouds
256,Waddan,LY,29.1614,16.139,61.57,28,6,3.94,clear sky
257,Xuzhou,CN,34.1805,117.1571,58.62,68,96,9.57,overcast clouds
258,Husavik,IS,66.0449,-17.3389,43.63,82,100,12.33,overcast clouds
259,Emba,KZ,48.8264,58.1442,27.46,72,100,16.08,overcast clouds
260,Henties Bay,NA,-22.116,14.2845,59.29,91,95,4.14,overcast clouds
261,Hit,IQ,33.6416,42.8251,60.03,59,0,5.77,clear sky
262,Kjollefjord,NO,70.9457,27.3465,35.65,93,100,5.75,overcast clouds
263,Usinsk,RU,65.9939,57.5281,21.38,94,100,19.19,light snow
264,Jiangyou,CN,31.7667,104.7167,61.5,62,100,1.12,overcast clouds
265,Sisimiut,GL,66.9395,-53.6735,18.27,89,100,10.98,overcast clouds
266,Borger,NL,52.9233,6.7931,44.8,94,100,11.92,overcast clouds
267,Salalah,OM,17.0151,54.0924,75.25,70,13,1.97,few clouds
268,Antalaha,MG,-14.9003,50.2788,74.19,85,95,0.2,light rain
269,Fort Nelson,CA,58.8053,-122.7002,13.69,95,10,1.16,clear sky
270,Sarab,IR,38.6066,44.9883,42.71,62,0,3.13,clear sky
271,Nome,US,64.5011,-165.4064,35.67,93,100,12.66,light rain
272,Haines Junction,CA,60.7522,-137.5108,8.69,95,15,1.61,few clouds
273,Safaga,EG,26.7292,33.9365,69.85,42,100,13.2,overcast clouds
274,Atbasar,KZ,51.8,68.3333,8.55,98,100,4.7,overcast clouds
275,Jumla,NP,29.2747,82.1838,51.1,21,0,1.45,clear sky
276,Kashi,CN,39.4547,75.9797,39.06,31,69,4.72,broken clouds
277,Bakchar,RU,57.0186,82.0711,-9.89,98,7,1.9,clear sky
278,Iqaluit,CA,63.7506,-68.5145,4.69,77,98,11.99,overcast clouds
279,Verkhnyaya Inta,RU,65.9811,60.3094,10.47,91,100,29.8,overcast clouds
280,Canico,PT,32.6333,-16.85,68.72,85,20,4.61,few clouds
281,Asmara,ER,15.3333,38.9333,54.16,53,2,1.88,clear sky
282,Nyurba,RU,63.2842,118.3319,-15.54,94,12,4.68,few clouds
283,Camacha,PT,33.0833,-16.3333,65.62,83,40,12.66,scattered clouds
284,Namatanai,PG,-3.6667,152.4333,84.97,60,33,8.7,scattered clouds
285,Casablanca,MA,33.5928,-7.6192,64.62,71,95,7.49,overcast clouds
286,Sao Filipe,CV,14.8961,-24.4956,78.55,75,80,3.74,broken clouds
287,Mogadishu,SO,2.0371,45.3438,78.93,84,6,9.48,clear sky
